hotel_name,hotel_lat,hotel_lon
Corne de cerf,48.650225,-2.0247349
LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking,48.6476829,-1.9952037
Antinéa,48.65554342,-2.00513899
Le RUELLAN charmant duplex proche plage,48.656487,-1.982275
Mercure St Malo Front de Mer,48.65256666,-2.01424241
Résidence de Luxe Le Bénétin- Saint Malo,48.68608942,-1.96772136
Résidence Pierre & Vacances Ty Mat,48.63837328,-2.01351285
The Originals City,48.61671487,-1.98199421
Apartment Grands Degrès,48.6483416,-2.0249552
Apartment Clos Schuman,48.6585625,-1.98939
Le Nautilus,48.6354796,-2.0226991
Hôtel et Appart’hôtel L'Adresse,48.65210596,-2.0171231
Le Dauphine 20m de la plage,48.63998256,-2.01863587
Villa des Roses Appart T2,49.49271861,0.15357732
Manoir 1685 Saint Malo,48.63222036,-1.987247
AZUR - CENTRE LH COTY,49.497386,0.113992
JungLH by Beds76,49.4925916,0.1209821
Les Fours a Chaux,48.6275406,-2.01025363
Le Briantais,48.62092957,-2.00935274
Guillemard - Pied à terre - 100m plage,49.4977614,0.0940308
Apartment Broussais,48.648083,-2.026228
Les Cyprès,48.6794076,-1.9805945
Villa du Manoir 1685,48.63223489,-1.98689633
Appartsand,48.63013071,-1.96540435
Apartment Les Terrasses-1,48.6635451,-1.9895126
intramuros la coudre,48.6479745,-2.0250354
Saint Malo Intra-Muros,48.6504537,-2.0272514
Camping La Baie du Mont Saint Michel,48.626681,-1.388192
Saint Malo Courtoisville,48.6558561,-1.99106313
Holiday Home Villa Renée,48.666791,-1.98744
Mont Naïa,48.552543,-1.5076424
Le Relais Montois,48.552497,-1.507376
la longère charmante,48.62588735,-1.38634277
Maison de vacances - Baie du Mont Saint Michel,48.730099,-1.521509
Gîte La Bertichère,48.73132972,-1.52664721
Gîtes sains Baie du mont saint Michel LES HORTENSIAS,48.5514083,-1.5819707
A l'abri des vents,48.7304892,-1.5200851
L Entre deux,48.72425942,-1.46298498
L'Orangerie,48.72321357,-1.44079283
La villa Margot,48.73128759,-1.52070522
Camping le Balcon de la Baie,48.58790935,-1.62896052
GITE DE MAGALI,48.7369913,-1.5336814
Le Petit Montceaux,48.6652431,-1.3610021
Le Petit Lustucru,48.66016,-1.351961
Le Nid du Franc,48.681274,-1.364289
Le Clos du Mont Jarry,48.67126662,-1.35688772
Hôtel les 13 Assiettes,48.63907772,-1.35193348
Les mesanges,48.7364356,-1.5442833
La Bretonniere,48.73216,-1.472302
Hardy,48.59913095,-1.36653461
Gîte Saint-Broladre,48.5802364,-1.6475652
Maison Face au Mont avec extérieur,48.6860373,-1.3682133
Vivez Le Centre ville à la Plage,49.49275943,0.10127851
VICTOIRE appartement hyper centre avec garage,49.49390734,0.11274987
Au cœur des remparts,48.6481676,-2.027371
Appartsand,48.63013071,-1.96540435
Saint-Malo,48.6359018,-2.0123691
Saint Malo,48.65040199,-2.02652694
Apartment Plein Soleil,48.677725,-1.983057
Le Chateaubriand by Cocoonr,48.648803,-2.028153
Saint Malo la greve maison 100m de la plage,48.67684213,-1.98061401
The Originals City,48.61671487,-1.98199421
La Vigie by Cocoonr,48.627654,-2.011661
Le Maclow,48.6507467,-2.0241458
Appartement rez de jardin bord de mer (Sweet Home),48.65744182,-1.99132689
Le Plongeoir de Bon-Secours,48.6480942,-2.0275281
Appartement Clémenceau,48.6387589,-2.0173283
Bord de mer à 80 m de la plage du Sillon,48.6624497,-1.9893862
Le Surcouf By Locntour,48.6466142,-2.0097312
Le Brasier - Petit Cocon dans l'Intra Muros,48.6473734,-2.0264802
Petite Maison de Campagne,48.74085026,-1.42272406
Chambres d'hôtes dans la baie du Mt St Michel,48.74918,-1.553245
Le Lac,48.608396,-1.688655
Le Marite,48.752404,-1.454757
Claquerel,48.7568138,-1.47950466
Chambres d'hôtes - La Sennelee,48.528435,-1.430558
Maison Carolles,48.75539725,-1.56676281
Logis Auberge de Carolles,48.75060267,-1.55879959
La Cabine by Cocoonr,48.6362615,-2.0243554
Studio cozy proche Intra-Muros,48.64094669,-2.01753926
T2 LA DIGUE rdc sud terrasse 41 BD HEBERT,48.6594593,-1.9947348
Beautiful Modern Studio with TERRACE near the SEA,48.650743,-1.989384
Emeraude Jacuzzi,48.65544397,-1.99258329
Le BOCAGE,48.74142736,-1.45446695
La Varde Saint Malo apercu mer,48.6784043,-1.9840649
Le Solidor,48.63535947,-2.02294574
Les Colombes de la Baie du Mont Saint-Michel,48.5273614,-1.4770096
Hameau de la Brelaudière,48.75814148,-1.52438055
Les Madeleines,48.750355,-1.559052
Holiday Home Château de Boucéel Mont Saint Michel,48.5656848,-1.36573646
Le Vieux Manoir,48.751127,-1.562961
Maison Carolles,48.7518032,-1.5583634
Maison Carolles,48.7545407,-1.5643501
