Search_Name,lat,lon
Aigues Mortes,45.3314,1.0301
Aix-en-Provence,43.5298,5.4475
Amiens,49.8987,2.2725
Annecy,45.8992,6.1289
Ariège,42.9455,1.4066
Avignon,43.9492,4.8059
Bayeux,49.2765,-0.7025
Bayonne,43.4933,-1.4751
Besancon,-33.9659,25.508
Biarritz,43.4711,-1.5527
Bormes-les-Mimosas,43.1572,6.3293
Carcassonne,43.213,2.3491
Cassis,43.214,5.5396
Château du Haut-Kœnigsbourg,48.2495,7.3443
Collioure,42.525,3.0832
Colmar,48.0778,7.358
Dijon,47.3216,5.0415
Eguisheim,48.0448,7.308
Gorges du Verdon,43.7497,6.3286
Grenoble,45.1876,5.7358
La Rochelle,46.1591,-1.152
Le Havre,49.4939,0.108
Lille,50.6366,3.0635
Lyon,45.7578,4.832
Marseille,43.2962,5.37
Mont Saint Michel,52.5094,4.9369
Montauban,44.0176,1.355
Nîmes,43.8374,4.3601
Paris,48.8535,2.3484
Rouen,49.4412,1.0852
Saint-Malo,48.6495,-2.026
Saintes-Maries-de-la-Mer,43.4523,4.4287
Strasbourg,48.5846,7.7507
Toulouse,43.6007,1.4241
Uzès,44.0121,4.4197
