city,hotel_name,hotel_lat,hotel_lon
plein coeur intra muros,Corne de cerf,48.65022500,-2.02473490
Saint Malo,LES AMARRES - Maison familiale 3 chambres - Jardin et place de parking,48.64768290,-1.99520370
Saint Malo,Antinéa,48.65554342,-2.00513899
Saint Malo,Le RUELLAN charmant duplex proche plage,48.65648700,-1.98227500
Saint Malo,Mercure St Malo Front de Mer,48.65256666,-2.01424241
Saint Malo,Résidence de Luxe Le Bénétin- Saint Malo,48.68608942,-1.96772136
Saint Malo,Résidence Pierre & Vacances Ty Mat,48.63837328,-2.01351285
Hôtel Belem,The Originals City,48.61671487,-1.98199421
Saint Malo,Apartment Grands Degrès,48.64834160,-2.02495520
Saint Malo,Apartment Clos Schuman,48.65856250,-1.98939000
Saint malo,Le Nautilus,48.63547960,-2.02269910
Saint Malo,Hôtel et Appart’hôtel L'Adresse,48.65210596,-2.01712310
Saint Malo,Le Dauphine 20m de la plage,48.63998256,-2.01863587
32m2,Villa des Roses Appart T2,49.49271861,0.15357732
Saint Malo,Manoir 1685 Saint Malo,48.63222036,-1.98724700
Le Havre,AZUR - CENTRE LH COTY,49.49738600,0.11399200
Le Havre,JungLH by Beds76,49.49259160,0.12098210
Maison 6 pers proche plage,Les Fours a Chaux,48.62754060,-2.01025363
Saint Malo,Le Briantais,48.62092957,-2.00935274
Le Havre,Guillemard - Pied à terre - 100m plage,49.49776140,0.09403080
Saint Malo,Apartment Broussais,48.64808300,-2.02622800
Saint Malo,Les Cyprès,48.67940760,-1.98059450
Saint Malo,Villa du Manoir 1685,48.63223489,-1.98689633
Saint Malo,Appartsand,48.63013071,-1.96540435
Saint Malo,Apartment Les Terrasses-1,48.66354510,-1.98951260
Saint Malo,intramuros la coudre,48.64797450,-2.02503540
Le Chat qui danse,Saint Malo Intra-Muros,48.65045370,-2.02725140
Céaux,Camping La Baie du Mont Saint Michel,48.62668100,-1.38819200
Saint Malo,Saint Malo Courtoisville,48.65585610,-1.99106313
Saint Malo,Holiday Home Villa Renée,48.66679100,-1.98744000
Pontorson,Mont Naïa,48.55254300,-1.50764240
Pontorson,Le Relais Montois,48.55249700,-1.50737600
Céaux,la longère charmante,48.62588735,-1.38634277
Saint-Jean-le-Thomas,Maison de vacances - Baie du Mont Saint Michel,48.73009900,-1.52150900
Saint-Jean-le-Thomas,Gîte La Bertichère,48.73132972,-1.52664721
Sains,Gîtes sains Baie du mont saint Michel LES HORTENSIAS,48.55140830,-1.58197070
Saint-Jean-le-Thomas,A l'abri des vents,48.73048920,-1.52008510
Champcey,L Entre deux,48.72425942,-1.46298498
Bacilly,L'Orangerie,48.72321357,-1.44079283
Saint-Jean-le-Thomas,La villa Margot,48.73128759,-1.52070522
Saint-Marcan,Camping le Balcon de la Baie,48.58790935,-1.62896052
Champeaux,GITE DE MAGALI,48.73699130,-1.53368140
Le Val-Saint-Père,Le Petit Montceaux,48.66524310,-1.36100210
Saint-Martin-des-Champs,Le Petit Lustucru,48.66016000,-1.35196100
Avranches,Le Nid du Franc,48.68127400,-1.36428900
Le Val-Saint-Père,Le Clos du Mont Jarry,48.67126662,-1.35688772
Le Val-Saint-Père,Hôtel les 13 Assiettes,48.63907772,-1.35193348
Champeaux,Les mesanges,48.73643560,-1.54428330
Dragey,La Bretonniere,48.73216000,-1.47230200
Vergoncey,Hardy,48.59913095,-1.36653461
4 pièces,Gîte Saint-Broladre,48.58023640,-1.64756520
Avranches,Maison Face au Mont avec extérieur,48.68603730,-1.36821330
Le Havre,Vivez Le Centre ville à la Plage,49.49275943,0.10127851
Le Havre,VICTOIRE appartement hyper centre avec garage,49.49390734,0.11274987
L\'ÉCRIN Appartement 2 chambres pour 2-6 pers,Au cœur des remparts,48.64816760,-2.02737100
Saint Malo,Appartsand,48.63013071,-1.96540435
le Constantine,Saint-Malo,48.63590180,-2.01236910
Intra-Muros 3 personnes,Saint Malo,48.65040199,-2.02652694
Saint Malo,Apartment Plein Soleil,48.67772500,-1.98305700
Saint Malo,Le Chateaubriand by Cocoonr,48.64880300,-2.02815300
Saint Malo,Saint Malo la greve maison 100m de la plage,48.67684213,-1.98061401
