lat,lon,timezone,timezone_offset,dt,sunrise,sunset,moonrise,moonset,moon_phase,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,rain,Day,snow,Search_Name
45.3314,1.0301,Europe/Paris,7200,1650279600,1650258335,1650307469,1650316380,1650261660,0.56,1016,49,7.42,3.45,304,7.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",68,0.0,5.99,18.65,7.33,20.18,14.92,17.67,7.33,17.85,14.35,17.03,7.33,,Today,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650366000,1650344632,1650393947,0,1650349920,0.6,1013,74,9.51,3.43,319,9.31,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",86,0.99,3.96,14.36,9.06,14.71,9.5,11.63,9.06,13.78,7.92,11.09,8.51,9.62,Day_1,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650452400,1650430930,1650480424,1650407640,1650438840,0.64,1006,97,9.11,3.26,330,8.92,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",100,1.0,4.16,9.9,7.07,9.95,7.07,9.95,8.97,9.9,7.07,9.77,8.32,16.99,Day_2,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650538800,1650517229,1650566901,1650498660,1650528360,0.67,1004,83,8.22,1.67,196,3.24,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.97,1.81,11.27,6.98,11.7,9.29,11.14,7.8,10.62,9.0,10.53,7.8,3.86,Day_3,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650625200,1650603529,1650653378,1650588960,1650618600,0.71,1000,59,7.36,2.34,221,6.85,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.29,4.22,15.51,6.39,16.55,11.17,14.03,6.59,14.66,10.48,13.42,5.83,0.14,Day_4,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650711600,1650689830,1650739856,1650678540,1650709380,0.75,997,96,9.21,6.15,263,12.11,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",97,1.0,3.9,10.16,8.62,15.66,9.2,8.62,10.63,9.74,7.09,6.79,9.99,23.89,Day_5,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650798000,1650776132,1650826333,1650767340,1650800400,0.78,1013,60,8.24,4.48,242,11.22,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",93,1.0,4.0,16.13,9.56,16.13,9.56,13.92,9.94,15.37,9.56,13.51,8.51,3.76,Day_6,,Aigues Mortes
45.3314,1.0301,Europe/Paris,7200,1650884400,1650862435,1650912810,1650855600,1650891360,0.82,1010,46,7.44,3.14,339,9.36,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",100,0.93,4.0,19.71,7.06,20.58,8.77,9.38,8.69,18.94,7.71,7.69,8.11,11.34,Day_7,,Aigues Mortes
43.5298,5.4475,Europe/Paris,7200,1650279600,1650257451,1650306234,1650314880,1650260820,0.56,1015,41,4.22,4.5,233,4.87,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",100,0.0,5.53,17.88,10.87,19.18,14.58,16.4,10.87,16.79,13.71,15.51,9.61,,Today,,Aix-en-Provence
43.5298,5.4475,Europe/Paris,7200,1650366000,1650343753,1650392705,0,1650349200,0.6,1009,30,1.94,6.07,289,7.02,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",89,0.0,6.0,20.57,10.61,22.05,14.57,18.28,10.61,19.47,13.83,17.36,9.68,,Day_1,,Aix-en-Provence
