quarter_str,year,Fuel_Price,Temperature_group,Store_group_CPI,Store_group_unemp,weekofyear_holiday
q1,y2,3.045,mean_temp,highsales_highCPI,highsales_lowunemp,
q1,y2,3.435,low_temp,highsales_lowCPI,highsales_highunemp,0.0
,,,high_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q2,y1,2.759,high_temp,highsales_highCPI,highsales_lowunemp,0.0
q2,y1,2.756,,highsales_lowCPI,highsales_highunemp,0.0
q2,y2,4.069,mean_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q1,y3,3.617,low_temp,highsales_highCPI,highsales_lowunemp,0.0
q4,y1,3.109,low_temp,,,0.0
,,3.555,mean_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q3,y2,3.554,high_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q4,y1,2.878,mean_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q2,y2,3.767,low_temp,lowsales_highCPI,lowsales_highunemp,0.0
q1,y3,3.734,mean_temp,highsales_highCPI,highsales_lowunemp,0.0
q4,y1,2.853,mean_temp,lowsales_lowCPI,lowsales_lowunemp,0.0
q2,y1,2.78,mean_temp,highsales_highCPI,highsales_lowunemp,
q3,y1,2.85,mean_temp,,highsales_highunemp,0.0
,,2.7880000000000003,low_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q4,y2,,mean_temp,,highsales_highunemp,0.0
q2,y1,2.725,low_temp,lowsales_highCPI,lowsales_highunemp,0.0
q2,y2,3.899,high_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q4,y3,4.029,mean_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q1,y1,2.963,low_temp,highsales_lowCPI,highsales_highunemp,0.0
q2,y3,4.124,mean_temp,highsales_lowCPI,highsales_highunemp,0.0
q4,y3,3.797,mean_temp,lowsales_lowCPI,lowsales_lowunemp,0.0
q1,y3,3.261,mean_temp,,lowsales_lowunemp,0.0
q2,y2,3.828,low_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q2,y1,2.915,mean_temp,lowsales_lowCPI,lowsales_lowunemp,0.0
q3,y2,3.523,,highsales_highCPI,highsales_lowunemp,0.0
q1,y3,3.103,low_temp,lowsales_highCPI,lowsales_highunemp,
q1,y3,,low_temp,,highsales_highunemp,
,,3.48,high_temp,highsales_highCPI,,0.0
q1,y2,3.789,low_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q3,y2,3.467,high_temp,lowsales_highCPI,lowsales_highunemp,0.0
q2,y2,3.823,,lowsales_lowCPI,lowsales_highunemp,0.0
q2,y2,3.57,high_temp,highsales_lowCPI,highsales_lowunemp,0.0
q4,y2,3.297,mean_temp,lowsales_highCPI,lowsales_lowunemp,0.0
q2,y3,4.023,mean_temp,lowsales_lowCPI,lowsales_highunemp,0.0
q3,y3,3.659,,lowsales_highCPI,lowsales_lowunemp,0.0
,,3.73,,highsales_highCPI,highsales_lowunemp,
q3,y2,3.485,mean_temp,lowsales_highCPI,lowsales_highunemp,
q1,y1,2.548,low_temp,highsales_highCPI,highsales_highunemp,
q1,y3,3.555,mean_temp,highsales_highCPI,highsales_lowunemp,0.0
q3,y1,2.64,high_temp,lowsales_highCPI,lowsales_lowunemp,0.0
