Code_CIQUAL,Groupe_aliment,Sous-groupe_aliment,Nom_Produit_Francais,LCI_Name,Saisonnalite,Transport_par_avion_,Livraison,Materiau_emballage,Preparation,DQR_Note_qualite_la_donnee_,Score_unique_EF_,Score_unique_EF__Agriculture,Score_unique_EF__Transformation,Score_unique_EF__Emballage,Score_unique_EF__Transport,Score_unique_EF__Supermarche_distribution,Score_unique_EF__Consommation
13712,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, égoutté","Apricot, canned in light syrup, drained",mix de consommation FR,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.2153665,0.0612971829999999,0.075214607,0.034667415,0.0175149,0.016503721,0.010168672
13713,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained",mix de consommation FR,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.12804344,0.038249442,0.046933915,0.021632467,0.010929298,0.0102983219999999,0.0
13714,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, égoutté","Apricot, in syrup, canned, drained",mix de consommation FR,0,Ambiant (moyenne),Acier,Pas de préparation ,2.46,0.2153665,0.0612971829999999,0.075214607,0.034667415,0.0175149,0.016503721,0.010168672
13715,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained",mix de consommation FR,0,Ambiant (moyenne),Acier,Pas de préparation,2.44,0.12804344,0.038249442,0.046933915,0.021632467,0.010929298,0.0102983219999999,0.0
13000,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, cru","Apricot, pitted, raw",mix de consommation FR,0,Ambiant (moyenne),LPDE,Pas de préparation,2.2,0.1189289999999999,0.0611013459999999,0.0,0.02694798,0.013787859,0.012872902,0.0042189169
13001,"fruits, légumes, légumineuses et oléagineux",fruits,"Abricot, dénoyauté, sec","Apricot, pitted, dried",mix de consommation FR,0,Ambiant (moyenne),LPDE,Pas de préparation,2.64,0.79716709,0.3635530099999999,0.36250469,0.021558384,0.034366799,0.01518421,0.0
25433,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Accra de poisson,"Caribbean-style fish fritters, fish acras",mix de consommation FR,0,Glacé,PS,Four,3.14,0.90731815,0.7654721800000001,0.033077694,0.017847322,0.04824737,0.0089786658,0.033694973
11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",mix de consommation FR,0,Ambiant (long),LPDE,Pas de préparation,2.99,1.2525745,0.66759478,0.5325735899999999,0.022225138,0.0194538189999999,0.010205208,0.00052192787
21508,"viandes, œufs, poissons",viandes cuites,"Agneau, collier, braisé ou bouilli","Lamb, neck, braised or boiled",mix de consommation FR,0,Glacé,PS,Four,2.65,6.0857682,5.9765795,0.013313121,0.027925225,0.02413391,0.014122822,0.04043131
21514,"viandes, œufs, poissons",viandes crues,"Agneau, collier, cru","Lamb, neck, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.63,4.7927723,4.7310881,0.010538729,0.022105737,0.019104515,0.011179692,0.0072555916
21516,"viandes, œufs, poissons",viandes crues,"Agneau, côte filet, crue","Lamb, chop fillet, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.63,4.7927723,4.7310881,0.010538729,0.022105737,0.019104515,0.011179692,0.0072555916
21509,"viandes, œufs, poissons",viandes cuites,"Agneau, côte filet, grillée/poêlée","Lamb, chop fillet, grilled/pan-fried",mix de consommation FR,0,Glacé,PS,Poêle,2.65,6.0659027000000005,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
21517,"viandes, œufs, poissons",viandes crues,"Agneau, côte première, crue","Lamb, rib chop, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.63,4.7927723,4.7310881,0.010538729,0.022105737,0.019104515,0.011179692,0.0072555916
21512,"viandes, œufs, poissons",viandes cuites,"Agneau, côte première, grillée/poêlée","Lamb, rib chop, grilled/pan-fried",mix de consommation FR,0,Glacé,PS,Poêle,2.65,6.0659027000000005,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
21500,"viandes, œufs, poissons",viandes crues,"Agneau, côtelette, crue","Lamb, cutlet, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.63,3.8308427,3.7848704,0.0084309829,0.01768459,0.015283612,0.0089437534,0.0024293397
